FID; LONGITUDE1(deg); LATITUDE1(deg); LONGITUDE2(deg); LATITUDE2(deg); TETADEG(DEG); LONGEUR(Km)
0; -7.32455712; 8.72867944; -7.28805069; 8.72309165; 98.799881521474; 4.0740285634971
1; -7.26017138; 8.73869661; -7.29997451; 8.73887727; 270.26613248735; 4.3902726980617
2; -7.76945789; 8.75100200; -7.72307267; 8.75898710; 80.115985924252; 5.1872897216249
3; -7.24971804; 8.75871985; -7.19453932; 8.78070099; 68.0426672582; 6.5593140364161
4; -7.71812699; 8.76982200; -7.76507691; 8.75641365; 253.88631965768; 5.3835804059972
5; -7.38435500; 8.77071175; -7.43124658; 8.77253702; 272.25906005257; 5.1745683070196
6; -7.78468825; 8.76353090; -7.83699561; 8.78051622; 288.19268236156; 6.0639747593938
7; -7.75850519; 8.76453099; -7.79554048; 8.78092874; 294.13526333511; 4.4691275168822
8; -7.65796536; 8.81627392; -7.73151250; 8.84311596; 290.27688829599; 8.6365604731688
9; -7.44306960; 8.81435993; -7.48010188; 8.82807471; 290.54781449619; 4.3584407361323
10; -7.77195984; 8.81937672; -7.80626121; 8.83956340; 300.77927110577; 4.3953300718679
11; -7.82540613; 8.82334586; -7.86846158; 8.83650069; 287.18474401551; 4.963165870667
12; -7.21224703; 8.84045566; -7.25584964; 8.84662831; 278.15659349074; 4.858521894049
13; -7.78114760; 8.84545109; -7.82261146; 8.84449852; 268.67130151832; 4.5691201889113
14; -7.83946014; 8.86462740; -7.79963578; 8.86395904; 90.970039319374; 4.3877196277633
15; -7.23283679; 8.86876136; -7.29286459; 8.86253077; 264.00769028345; 6.6573788282466
16; -7.35334820; 8.87636445; -7.31353669; 8.87455924; 92.624585834527; 4.3952126950098
17; -7.29229660; 8.86741048; -7.24531716; 8.88238182; 72.119782127357; 5.4427351654431
18; -7.35442705; 8.87908168; -7.31515326; 8.87890642; 90.255751906354; 4.3313547023116
19; -7.44606667; 8.88001707; -7.49576088; 8.86720001; 255.37365640458; 5.6611668775142
20; -7.29656751; 8.88750170; -7.25018759; 8.89054169; 86.200851046551; 5.1268691356461
21; -7.49621797; 8.88890304; -7.53441596; 8.88634248; 266.12146503433; 4.2205515056947
22; -7.43071188; 8.89894078; -7.47381329; 8.89803489; 268.78462460983; 4.7532429379134
23; -7.40724037; 8.90209617; -7.36470688; 8.89811426; 95.409846526736; 4.7111182857878
24; -7.22777419; 8.90074251; -7.26591153; 8.91068658; 284.78763545629; 4.3496936843613
25; -7.64998632; 8.91010908; -7.59758911; 8.91534072; 84.224876550057; 5.8040287376552
26; -7.39845770; 8.91453609; -7.34491488; 8.93220374; 71.525754153682; 6.2227289344799
27; -7.24787403; 8.91819653; -7.21119878; 8.94405957; 54.476182938135; 4.9636659680708
28; -7.55117588; 8.92492846; -7.50093529; 8.93612215; 77.28649985708; 5.676513439547
29; -7.88072409; 8.93040895; -7.83974398; 8.94764632; 66.932543075082; 4.9040464240951
30; -7.92761265; 8.94411280; -7.88830098; 8.95105087; 79.867189697603; 4.3978841412073
31; -7.34156548; 8.94900596; -7.39993341; 8.95143276; 272.41470381399; 6.4422408577095
32; -7.67002003; 8.95250151; -7.63019716; 8.94964352; 94.152273688918; 4.4001795177082
33; -7.41903868; 8.94934480; -7.46700401; 8.96093940; 283.75444766988; 5.4434436230152
34; -7.17021671; 8.95742049; -7.23396974; 8.97346163; 284.2957697758; 7.255741871095
35; -7.36658700; 8.96593452; -7.32728878; 8.96901370; 85.461517482318; 4.3473905627991
36; -7.50518711; 8.96380834; -7.46691748; 8.98155481; 64.848511795876; 4.6577826877172
37; -7.01408516; 8.97776873; -6.95454874; 8.99100300; 77.312253430333; 6.7337870873883
38; -7.21814797; 8.97338564; -7.16128315; 8.99805908; 66.280270780385; 6.8470573492023
39; -7.01030497; 8.97069727; -6.94972447; 8.97578975; 85.130958351191; 6.7102533898329
40; -7.47672800; 8.98430805; -7.52798596; 8.99319667; 279.9616935861; 5.7366179926252
41; -6.93108240; 8.99249914; -6.96823813; 8.98185827; 253.83363614619; 4.2684436903235
42; -7.24041465; 8.99464836; -7.29388309; 8.99544227; 270.86544680347; 5.8983205084211
43; -7.36318681; 8.99412917; -7.41172410; 9.00030911; 277.34926488886; 5.3962332432816
44; -7.73261191; 8.99884028; -7.67871145; 8.96338400; 123.65842504146; 7.1287782626276
45; -7.74683865; 8.98803733; -7.78603032; 9.01855338; 308.25351281922; 5.4916862737989
46; -7.20330790; 8.99555421; -7.15308548; 9.00073025; 84.039017726791; 5.5705212557894
47; -7.29165220; 9.00573895; -7.24524671; 9.01094526; 83.51575857556; 5.1512235638163
48; -7.66326737; 9.00836134; -7.60653972; 9.00055519; 97.927208268119; 6.3118744132918
49; -7.63436346; 9.00282964; -7.73245855; 9.04278855; 292.42150431155; 11.687293139409
50; -6.96097949; 9.01164893; -6.90480751; 9.00807908; 93.677285015737; 6.2130620998338
51; -7.52410895; 9.00728702; -7.48530963; 9.02014995; 71.441611287378; 4.5101333805578
52; -6.98884783; 9.00366660; -7.03682754; 9.00934962; 276.84228807776; 5.3327602863382
53; -7.37184197; 9.01098487; -7.32866166; 9.02652326; 69.977231227574; 5.0657352014572
54; -7.84713665; 9.02580389; -7.80187068; 9.01480721; 103.81553956522; 5.1342185912324
55; -7.53658166; 9.02686811; -7.49178838; 9.03699486; 77.102735161738; 5.064774695224
56; -7.27190069; 9.02843043; -7.30954753; 9.02969065; 271.94423881296; 4.1546563204332
57; -7.58791581; 9.01838832; -7.54966000; 9.03180283; 70.44967116154; 4.4728361179582
58; -7.54366979; 9.02852390; -7.49725260; 9.03538970; 81.478364355569; 5.1735973022158
59; -7.05414644; 9.03547708; -6.99797872; 9.02975099; 95.889151887361; 6.2312793645148
60; -7.06608349; 9.04801560; -7.02905116; 9.03480072; 109.86373788742; 4.3428443900739
61; -7.68553891; 9.03719767; -7.64677376; 9.04085465; 84.540443971649; 4.2912711361722
62; -7.45629666; 9.04118736; -7.41538763; 9.03613030; 97.131478339465; 4.5455378659627
63; -7.20471954; 9.04112688; -7.14741644; 9.04246913; 88.636787042444; 6.3236641195311
64; -7.66804968; 9.04364536; -7.62713569; 9.03806888; 97.854663235629; 4.551399212758
65; -7.79197256; 9.03702098; -7.72643556; 9.04819344; 80.200915544071; 7.3267508856701
66; -7.35421803; 9.04671081; -7.41043327; 9.04587395; 269.1407963491; 6.1997328569545
67; -6.98198137; 9.06112155; -7.01698251; 9.04666834; 247.31074643476; 4.1839189103277
68; -6.96019599; 9.05394987; -7.01086135; 9.06833079; 286.04012818042; 5.8160587515042
69; -6.90897175; 9.04281373; -6.94603471; 9.04953173; 280.4033397465; 4.1587659326597
70; -7.45291086; 9.06721379; -7.50098075; 9.05764853; 258.61114035501; 5.4053551868003
71; -6.87504427; 9.05997372; -6.83240396; 9.07382422; 71.788964315935; 4.9530313402684
72; -6.88704421; 9.06058557; -6.84599544; 9.08203965; 62.105920690193; 5.1212402176731
73; -7.50311894; 9.06850781; -7.45616933; 9.07102516; 86.888363015951; 5.1837003371761
74; -7.26733279; 9.07072129; -7.22483776; 9.05587111; 109.48425171546; 4.9698362435369
75; -6.95690086; 9.05772811; -7.00864883; 9.07374265; 287.40436812654; 5.9825971429836
76; -6.85699154; 9.06800353; -6.82846718; 9.09332472; 48.043135379352; 4.224312411973
77; -7.44190155; 9.08886749; -7.40260106; 9.08924003; 89.446884396743; 4.3335967776743
78; -7.21157170; 9.08998092; -7.17275511; 9.10334950; 70.768645508102; 4.5329213550326
79; -7.02378466; 9.09985975; -7.07555492; 9.11369711; 285.15083593452; 5.916637727442
80; -7.14489371; 9.10863297; -7.23659663; 9.10637646; 268.57969013527; 10.119807923631
81; -7.25027288; 9.09993291; -7.19781937; 9.11161106; 77.289313030658; 5.9301850657791
82; -6.79357734; 9.08823438; -6.83240396; 9.07382422; 249.40422751763; 4.5765109149323
83; -6.83818750; 9.11019482; -6.78907591; 9.11044208; 89.703964518737; 5.4224597759052
84; -7.45325173; 9.11495642; -7.39972968; 9.12123494; 83.220297218671; 5.9426079798417
85; -7.54825887; 9.10883751; -7.49087273; 9.12542234; 73.680597871655; 6.5894862437883
86; -6.87579340; 9.11800910; -6.83038115; 9.13780718; 66.17230413341; 5.4755718079123
87; -7.55477005; 9.11862908; -7.60111372; 9.13345905; 287.96131091992; 5.3677469251504
88; -6.85337846; 9.12492786; -6.80692970; 9.13549691; 77.018411403282; 5.2611504541939
89; -7.09731293; 9.12737194; -7.06025954; 9.11632790; 106.79482361736; 4.2691812527687
90; -7.26981388; 9.12226731; -7.22823860; 9.14105293; 65.405690796564; 5.0393291944914
91; -6.89862647; 9.13278529; -6.95250099; 9.15966924; 296.81798692196; 6.6559334613239
92; -7.24355651; 9.13407546; -7.16713145; 9.13586743; 88.633493848487; 8.4333220662419
93; -7.06887468; 9.13807003; -7.12225367; 9.15896222; 291.6294169637; 6.3315955228978
94; -7.78993962; 9.15475563; -7.73752483; 9.15457679; 90.193845843648; 5.7748679008685
95; -7.42799993; 9.14739857; -7.49125179; 9.16502796; 285.77017589687; 7.2440382617127
96; -6.94659088; 9.14336474; -6.98190556; 9.17176668; 309.1703124296; 5.0166808952073
97; -7.06876643; 9.15813849; -7.10797893; 9.17461803; 293.06251016406; 4.6989310354648
98; -7.32313194; 9.15940575; -7.35975150; 9.14980869; 255.13628174951; 4.1771415160954
99; -7.04474213; 9.15963676; -7.07683383; 9.18042016; 303.26780569837; 4.2287205873691
100; -6.87500976; 9.15813802; -6.82025770; 9.18709811; 61.813997647986; 6.8489745688068
101; -7.68940529; 9.17448084; -7.62933334; 9.17751341; 87.067844159281; 6.6286812020874
102; -7.08669397; 9.17396358; -6.98840321; 9.18102336; 85.830835743471; 10.875457060891
103; -7.26736018; 9.17812940; -7.32075435; 9.20062301; 293.11470644519; 6.3982456212034
